task_id,domain,packet,packet_sha256,priority,risk_codes,blind_review_operations,coordinator_status,human_decision
cand_commerce_008,commerce,data/annotations/candidate_packets_v2/cand_commerce_008.json,42573e2c63695de4a15141bc24a51aae211567d58f545a57d6dcd1c7ebc78353,P0,counterfactual_relevance_review;legal_policy_ambiguity_review;epistemic_semantics_review,reconstruct_minimal_state_from_packet;enumerate_all_legal_sequences_from_public_contract;independently_check_status_scope_and_authority,unassigned,
cand_it_010,it,data/annotations/candidate_packets_v2/cand_it_010.json,9e82ee9dd3e3df36adc82d022406e057f6bbc908a53f6c5f363f471ec82c5a32,P0,counterfactual_relevance_review;legal_policy_ambiguity_review;epistemic_semantics_review,reconstruct_minimal_state_from_packet;enumerate_all_legal_sequences_from_public_contract;independently_check_status_scope_and_authority,unassigned,
cand_it_014,it,data/annotations/candidate_packets_v2/cand_it_014.json,48b66810489664b2ca12cf9930a8783b5b017002ce72a3ae03bc2066e1d8fb7c,P0,counterfactual_relevance_review;legal_policy_ambiguity_review;epistemic_semantics_review,reconstruct_minimal_state_from_packet;enumerate_all_legal_sequences_from_public_contract;independently_check_status_scope_and_authority,unassigned,
cand_it_017,it,data/annotations/candidate_packets_v2/cand_it_017.json,f545e64709d92dbc3095b9bb4300e329d125fdaee9c575735c2e711519216590,P0,counterfactual_relevance_review;legal_policy_ambiguity_review;impact_contract_review,reconstruct_minimal_state_from_packet;enumerate_all_legal_sequences_from_public_contract;compare_public_impact_semantics_without_evaluator_labels,unassigned,
cand_it_036,it,data/annotations/candidate_packets_v2/cand_it_036.json,cccefa573673ade0ef07cc85038f62e1e2444006d6442c945122e596a94af64d,P0,counterfactual_relevance_review;legal_policy_ambiguity_review;epistemic_semantics_review;interface_ordering_probe_hit,reconstruct_minimal_state_from_packet;enumerate_all_legal_sequences_from_public_contract;independently_check_status_scope_and_authority;audit_public_interface_for_shallow_cues,unassigned,
cand_procurement_007,procurement,data/annotations/candidate_packets_v2/cand_procurement_007.json,06fe46f38d85bb6949ad5247257c513889c0d683d04f1da0d708f0b04d033f47,P0,counterfactual_relevance_review;legal_policy_ambiguity_review;epistemic_semantics_review;interface_ordering_probe_hit,reconstruct_minimal_state_from_packet;enumerate_all_legal_sequences_from_public_contract;independently_check_status_scope_and_authority;audit_public_interface_for_shallow_cues,unassigned,
cand_commerce_001,commerce,data/annotations/candidate_packets_v2/cand_commerce_001.json,fc214d4bbe678fe72a12199efb5cd011d359224a0ea1718b31ffec1e9a1f1f12,P1,counterfactual_relevance_review;normalized_topology_review;interface_ordering_probe_hit,reconstruct_minimal_state_from_packet;compare_blind_workflow_logic_not_surface_words;audit_public_interface_for_shallow_cues,unassigned,
cand_commerce_005,commerce,data/annotations/candidate_packets_v2/cand_commerce_005.json,9efb035b150d15d47ca305b2e7d11058ab7bf1282e6de0bae9577702f791208c,P1,counterfactual_relevance_review;legal_policy_ambiguity_review,reconstruct_minimal_state_from_packet;enumerate_all_legal_sequences_from_public_contract,unassigned,
cand_commerce_007,commerce,data/annotations/candidate_packets_v2/cand_commerce_007.json,5c4c6ec638da3a1e0e042e8804d9c471e7e3c871c7079a01693a45617bc24572,P1,counterfactual_relevance_review;legal_policy_ambiguity_review;interface_ordering_probe_hit,reconstruct_minimal_state_from_packet;enumerate_all_legal_sequences_from_public_contract;audit_public_interface_for_shallow_cues,unassigned,
cand_commerce_013,commerce,data/annotations/candidate_packets_v2/cand_commerce_013.json,478536c1ca661a0c5d2199927db63ecb369688fb0d4dacb205497493949ebf15,P1,counterfactual_relevance_review;normalized_topology_review;interface_ordering_probe_hit,reconstruct_minimal_state_from_packet;compare_blind_workflow_logic_not_surface_words;audit_public_interface_for_shallow_cues,unassigned,
cand_commerce_016,commerce,data/annotations/candidate_packets_v2/cand_commerce_016.json,225847bff0c1decfd2ff183eb489a586e9cd4a2bbee0efe2a9d302b0d3c20b0c,P1,counterfactual_relevance_review;normalized_topology_review;interface_ordering_probe_hit,reconstruct_minimal_state_from_packet;compare_blind_workflow_logic_not_surface_words;audit_public_interface_for_shallow_cues,unassigned,
cand_commerce_025,commerce,data/annotations/candidate_packets_v2/cand_commerce_025.json,03edc749de4ac65b06b81727732882fdbf33764d4a2c7fedad5730c593d065d1,P1,counterfactual_relevance_review;normalized_topology_review;interface_ordering_probe_hit,reconstruct_minimal_state_from_packet;compare_blind_workflow_logic_not_surface_words;audit_public_interface_for_shallow_cues,unassigned,
cand_commerce_028,commerce,data/annotations/candidate_packets_v2/cand_commerce_028.json,1b61b3b5fa7c4cfebe9f791835072e648ea26cb9c5c127671609e77d7bd9dd1b,P1,counterfactual_relevance_review;normalized_topology_review;interface_ordering_probe_hit,reconstruct_minimal_state_from_packet;compare_blind_workflow_logic_not_surface_words;audit_public_interface_for_shallow_cues,unassigned,
cand_commerce_029,commerce,data/annotations/candidate_packets_v2/cand_commerce_029.json,5d8c7dfbfc11884c18fd4ada80a7b4551f3d124dbe8d58057b9872e168d6a557,P1,counterfactual_relevance_review;legal_policy_ambiguity_review,reconstruct_minimal_state_from_packet;enumerate_all_legal_sequences_from_public_contract,unassigned,
cand_commerce_031,commerce,data/annotations/candidate_packets_v2/cand_commerce_031.json,9c4a25a16fc45503cb67f618f53a0e5674bb39edfe7fba89eaa19ea88c52a930,P1,counterfactual_relevance_review;normalized_topology_review;interface_ordering_probe_hit,reconstruct_minimal_state_from_packet;compare_blind_workflow_logic_not_surface_words;audit_public_interface_for_shallow_cues,unassigned,
cand_commerce_033,commerce,data/annotations/candidate_packets_v2/cand_commerce_033.json,29f56f9bc66d89509e7073a6dfabf55df6fd8b9fa338115ce58d3d6f170e84a1,P1,counterfactual_relevance_review;epistemic_semantics_review,reconstruct_minimal_state_from_packet;independently_check_status_scope_and_authority,unassigned,
cand_commerce_040,commerce,data/annotations/candidate_packets_v2/cand_commerce_040.json,3b553157125d489ab657c7f2294bb1f2c7bc08eddc5843dae7ee0518f9f972d9,P1,counterfactual_relevance_review;legal_policy_ambiguity_review;interface_ordering_probe_hit,reconstruct_minimal_state_from_packet;enumerate_all_legal_sequences_from_public_contract;audit_public_interface_for_shallow_cues,unassigned,
cand_it_002,it,data/annotations/candidate_packets_v2/cand_it_002.json,ceacbac75c5b59cbb049033bdbe29bab689c48ac06f326e0d59f7f0e029a51ab,P1,counterfactual_relevance_review;legal_policy_ambiguity_review,reconstruct_minimal_state_from_packet;enumerate_all_legal_sequences_from_public_contract,unassigned,
cand_it_003,it,data/annotations/candidate_packets_v2/cand_it_003.json,921a91b20f57840e3cc833a2cebd27feeed750dccd70040ef60eb01323659158,P1,counterfactual_relevance_review;legal_policy_ambiguity_review;interface_ordering_probe_hit,reconstruct_minimal_state_from_packet;enumerate_all_legal_sequences_from_public_contract;audit_public_interface_for_shallow_cues,unassigned,
cand_it_004,it,data/annotations/candidate_packets_v2/cand_it_004.json,394dccab135a673550c9cbd869e527d303a5b77ccb39dcf9dee00f606e1ae020,P1,counterfactual_relevance_review;legal_policy_ambiguity_review,reconstruct_minimal_state_from_packet;enumerate_all_legal_sequences_from_public_contract,unassigned,
cand_it_006,it,data/annotations/candidate_packets_v2/cand_it_006.json,2d12ea213cde7ea02c6a806f180235cafdd6f82bf50e6625b47cc26a0be058fc,P1,counterfactual_relevance_review;legal_policy_ambiguity_review;interface_ordering_probe_hit,reconstruct_minimal_state_from_packet;enumerate_all_legal_sequences_from_public_contract;audit_public_interface_for_shallow_cues,unassigned,
cand_it_007,it,data/annotations/candidate_packets_v2/cand_it_007.json,9fd0cbb4ba4730872bb7a5acd269353cf2439963f38cd696f475bea38d0640fd,P1,counterfactual_relevance_review;legal_policy_ambiguity_review,reconstruct_minimal_state_from_packet;enumerate_all_legal_sequences_from_public_contract,unassigned,
